time,temperature,humidity
2026-05-25T00:00,28.7,69
2026-05-25T01:00,30.1,64
2026-05-25T02:00,31.4,60
2026-05-25T03:00,32.3,58
2026-05-25T04:00,33.0,58
2026-05-25T05:00,33.1,58
2026-05-25T06:00,33.0,56
2026-05-25T07:00,32.5,56
2026-05-25T08:00,31.9,57
2026-05-25T09:00,31.1,61
2026-05-25T10:00,30.0,67
2026-05-25T11:00,28.9,72
2026-05-25T12:00,28.0,73
2026-05-25T13:00,27.2,76
2026-05-25T14:00,26.9,77
2026-05-25T15:00,26.0,83
2026-05-25T16:00,25.9,87
2026-05-25T17:00,25.6,88
2026-05-25T18:00,25.4,87
2026-05-25T19:00,25.0,87
2026-05-25T20:00,24.5,88
2026-05-25T21:00,24.2,87
2026-05-25T22:00,25.5,79
2026-05-25T23:00,27.0,72
